 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
9,MARET,06/03/2024,TERAS BRI UNIT DIPONEGORO-2,MET,e. CANCEL,GTM,DBS,75 MBPS,METRO
10,MARET,06/03/2024,TERAS BRI UNIT DIPONEGORO-3,MET,e. CANCEL,GTM,DBS,75 MBPS,METRO
8,MARET,08/03/2024,KIMIA FARMA,KDT,a. PS,STN,DES,50 MBPS,INNER
1,APRIL,22/04/2024,PT JUMBO POWER INTERNATIONAL,KDT,a. PS,STN,DBS,50MBPS,INNER
7,MARET,08/03/2024,KIMIA FARMA ,TJK,a. PS,KPU,DES,50 MBPS,INNER
2,MARET,06/03/2024,HIKMAH DIGITAL PRINTING qq agus nurhidayat  ,PRW,KENDALA BUTUH PT2NS/PT3,BTO,DBS,75 MBPS,INNER
2,MARET,09/03/2024,RUANG VERVAL BIDKEU POLDA LAMPUNG,KDT,a. PS,STN,DGS,100 MBPS,INNER
4,MARET,08/03/2024,WARUNG ELEKTRIK,MET,a. PS,GTM,DBS,100 MBPS,METRO
2,MARET,07/03/2024,SMA MUHAMMADIYAH 1 METRO - 2,MET,a. PS,GTM,DBS,75 MBPS,METRO
3,MARET,07/03/2024,SMA MUHAMMADIYAH 1 METRO - 1,MET,a. PS,GTM,DBS,200 MBPS,METRO
6,MARET,07/03/2024,KIMIA FARMA ,MET,a. PS,STN,DES,50 MBPS,METRO
5,MARET,08/03/2024,MADRASAH ALIYAH MAARIF NU 5 SEKAMPUNG 1,MET,a. PS,GTM,DBS,75 MBPS,METRO
7,MARET,07/03/2024,SARPRAS Polres Tulang Bawang Barat,MGA,a. PS,TA,DGS,50MBPS,METRO
4,MARET,07/03/2024,SMA MUHAMMADIYAH 1 METRO - 3,MET,a. PS,GTM,DBS,50 MBPS,METRO
5,MARET,07/03/2024,KOLAM RENANG ABANG ADEK,MET,a. PS,BTO,DBS,100 MBPS,METRO
14,MARET,07/03/2024,CRUZZPEDIA,BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
15,MARET,07/03/2024,WARUNG APRIYAN,GDT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
16,MARET,07/03/2024,Warung Sembako Saptoni,GDT,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
6,MARET,08/03/2024,MADRASAH ALIYAH MAARIF NU 5 SEKAMPUNG 2,MET,a. PS,GTM,DBS,75 MBPS,METRO
7,MARET,08/03/2024,KEMENAG KAB. TULANG BAWANG,MGA,a. PS,BTO,DBS,50 MBPS,METRO
8,MARET,08/03/2024,"CV. MITRA PRINCOM, SERVICE CENTER LAPTOP 2  ",UNT,a. PS,TA,DBS,300 MBPS,METRO
