 NO,BULAN,TGL BAGI WO,NAMA PELANGGAN,STO,KETERANGAN,MITRA, SEGMEN,PAKET,AREA
4,APRIL,29/04/2024,KOST PANORAMA RESIDENCE,KDT,a. PS,STN,DBS,75 MBPS,INNER
1,APRIL,28/04/2024,Dinas Pangan Kota Bandar Lampung,TJK,KENDALA BUTUH PT2NS/PT3,KPU,DBS,150 MBPS,INNER
15,APRIL,26/04/2024,Ponpes Al-Mursyid,KOT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,PRINGSEWU
2,APRIL,27/04/2024,TEMPAT WISATA SUMUR PUTERI  ,TKB,KENDALA BUTUH PT2NS/PT3,GTM,DGS,30 MBPS,INNER
5,APRIL,27/04/2024,PT Gunung Madu Plantation QQ Masjid Jabal Nahl,BDA,a. PS,GTM,DBS,200 MBPS,METRO
9,APRIL,27/04/2024,YAYASAN PENDIDIKAN PONPES DARUNNAJAH,WJA,a. PS,BTO,DBS,300 MBPS,METRO
6,APRIL,27/04/2024,CHIKA FASHION GROSIR DAN ECERAN,UNT,KENDALA BUTUH PT2NS/PT3,TA,DBS,300 MBPS,METRO
1,APRIL,28/04/2024,SRC ARIF,KLA,KENDALA BUTUH PT2NS/PT3,KPU,DBS,50MBPS,INNER
5,APRIL,29/04/2024,MIMI OFFICIAL STORE,TJK,a. PS,KPU,DBS,50MBPS,INNER
10,APRIL,27/04/2024,PT PLN (Persero) Posko Krui,KRU,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,PRINGSEWU
3,APRIL,28/04/2024,WAHAHA SEAFOOD,TKB,a. PS,KPU,DBS,100 MBPS,INNER
4,APRIL,28/04/2024,TOKO IAM,MGA,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,METRO
5,APRIL,28/04/2024,ASRAMA PUTRA LEO DEHON,MET,a. PS,GTM,DBS,100 MBPS,METRO
6,APRIL,28/04/2024,PEMADAM KEBAKARAN KAB LAMTENG,BDA,a. PS,BTO,DGS,30 MBPS,METRO
7,APRIL,28/04/2024,TOKO SPAREPART MOBIL ,MGA,a. PS,BTO,DBS,100 MBPS,METRO
6,APRIL,29/04/2024,SD NEGERI 10 METRO PUSAT,MET,a. PS,GTM,DBS,50MBPS,METRO
7,APRIL,29/04/2024,PENGADILAN AGAMA TULANG BAWANG TENGAH,MGA,KENDALA BUTUH PT2NS/PT3,BTO,DGS,VOICE,METRO
10,APRIL,28/04/2024,TOKO TERANG JAYA,PRW,a. PS,BTO,DBS,75 MBPS,PRINGSEWU
4,APRIL,30/04/2024,UPTD PUSKESMAS SUKADANA  ,SKD,a. PS,GTM,DBS,75 MBPS,METRO
9,APRIL,29/04/2024, JAVVA CELL,UNT,a. PS,TA,DBS,100 MBPS,METRO
10,APRIL,29/04/2024,SMPIT BINA INSANI METRO,MET,a. PS,GTM,DBS,150 MBPS,METRO
5,APRIL,30/04/2024,SHORUM MOTOR ACONG 21,MET,a. PS,GTM,DBS,50MBPS,METRO
6,APRIL,30/04/2024,KAVIN CELL SERVICE,BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
7,APRIL,30/04/2024,PT. Matrix Center Group,KBI,e. CANCEL,GTM,DES,100 MBPS,PRINGSEWU
12,APRIL,29/04/2024,MANDALA MULTIFINACE  TULANG BAWANG,UNT,BUTUH PT4,TA,DES,50MBPS,METRO
18,MARET,25/03/2024,PT PERTAMINA GEOTHERMAL ENERGY ,TGP,a. PS,BTO,DBS,POTS,PRINGSEWU
22,MARET,25/03/2024,CV ANUGRA JAYA  ,BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
11,MARET,26/03/2024,Distrik Coffe & Resto,UNT,a. PS,TA,DBS,300 MBPS,METRO
20,MARET,25/03/2024,ENDANG TAPIS  ,PRW,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50 MBPS,PRINGSEWU
21,MARET,25/03/2024,PT SPIDENET JAYA CENTER,KOT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50 MBPS,PRINGSEWU
9,MARET,26/03/2024,ANISA FOTO COPY & PERCETAKAN,UNT,a. PS,TA,DBS,50 MBPS,METRO
15,MARET,26/03/2024,DOZAN JAYA MOTOR,BDA,a. PS,BTO,DBS,100MBPS,METRO
12,MARET,26/03/2024,CV DASA KOMPUTER INDONESIA,UNT,a. PS,TA,DBS,300 MBPS,METRO
9,MARET,27/03/2024,LAPAS WAY KANAN,BDU,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
1,MARET,28/03/2024,BandarA INTERNASIONAL rADEN INTEN 1,NTR,a. PS,BTO,DES,50 MBPS,INNER
16,MARET,26/03/2024,Citra Busana,TGP,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
2,MARET,28/03/2024,PT NOAHTU SHIPYARD,TJK,a. PS,GTM,DBS,100MBPS,INNER
3,MARET,28/03/2024,SMP NEGERI 33 BANDARLAMPUNG  ,TJK,a. PS,KPU,DBS,100MBPS,INNER
5,MARET,28/03/2024,OTSKY,KDT,a. PS,STN,DBS,50 MBPS,INNER
6,MARET,28/03/2024,OTSKY,KDT,a. PS,STN,DBS,50 MBPS,INNER
10,MARET,29/03/2024,PU TUBA BINA MARGA ,MGA,a. PS,BTO,DGS,300 MBPS,METRO
9,MARET,28/03/2024,KHOIRUL INSAN MUTAQIN,WJA,a. PS,BTO,DBS,50 MBPS,METRO
12,MARET,28/03/2024,KOPERASI PEKON MARGAKAYA  ,PRW,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
14,MARET,28/03/2024,KANTOR KELURAHAN SINDANG SARI  ,KBI,a. PS,GTM,DBS,75 MBPS,PRINGSEWU
13,MARET,28/03/2024,cv. andan,KOT,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
9,MARET,29/03/2024,PU TUBA GEDUNG UTAMA,MGA,a. PS,BTO,DGS,300 MBPS,METRO
3,MARET,30/03/2024,TOKO ATAP MART,SPS,a. PS,KPU,DBS,50 MBPS,INNER
7,MARET,28/03/2024,RUMAH MAMA MINCU,TJK,e. CANCEL,KPU,DBS,50 MBPS,INNER
3,MEI,17/05/2024,Kantor Kementrian Agama Mesuji QQ. Arif Tirtana,UNT,a. PS,TA,DBS,150MBPS,METRO
6,MARET,30/03/2024,BAKSO & MIE AYAM BAROKAH 354,MET,a. PS,GTM,DBS,75 MBPS,METRO
7,MARET,30/03/2024,GENTAR ALAM KAROSERI,GDT,a. PS,BTO,DBS,200 MBPS,METRO
8,MARET,28/03/2024,AEL SALON,MET,a. PS,BTO,DBS,300 MBPS,METRO
8,MARET,29/03/2024,PT G4s Indonesia,BDA,BUTUH PT4,BTO,DBS,50 MBPS,METRO
9,MARET,29/03/2024,PU TUBA RUANG KADIS,MGA,a. PS,BTO,DGS,50 MBPS,METRO
11,MARET,30/03/2024,WARUNG SEMBAKO WAHYU,WJA,a. PS,BTO,DBS,200 MBPS,METRO
13,MARET,30/03/2024,DELLILI,LAM,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50 MBPS,METRO
14,MARET,30/03/2024,Raden Cili grub qq Mario Parera Raden Cili,BKM,a. PS,BTO,DBS,50 MBPS,PRINGSEWU
15,MARET,30/03/2024,ZAFRAN CARWASH,KRU,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
16,MARET,30/03/2024,PT. Dinar Sentausa (Outlet LPG 3 Kg),KOT,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
17,MARET,30/03/2024,CV Mitra Mandiri,KOT,a. PS,BTO,DBS,300 MBPS,PRINGSEWU
4,MARET,31/03/2024,SARTIKA HOTEL & RESORT,KRU,a. PS,GTM,DBS,150 MBPS,PRINGSEWU
1,MEI,01/05/2024,PT. Artacomindo Jejaring Nusa_V773 - RAYA RATULANGI,TJK,a. PS,KPU,DBS,30MBPS,INNER
2,MEI,01/05/2024,Morotai Indah Paving,KDT,a. PS,STN,DBS,50 MBPS,INNER
1,MEI,02/05/2024,PT MAXI UTAMA ENERGY,KDT,a. PS,BTO,DBS,50MBPS,INNER
4,MEI,01/05/2024,ARDI MANDIRI ELEKTRIK,TJK,e. CANCEL,KPU,DBS,50MBPS,INNER
2,MEI,30/05/2024,ASRAMA WONG KITO,KDT,a. PS,BTO,DBS,50MBPS,INNER
2,MEI,04/05/2024,WARUNG JOKO,SRW,a. PS,STN,DBS,50MBPS,INNER
3,MEI,02/05/2024,PT. Artacomindo Jejaring Nusa_L775 - RAJABASA JAYA,KDT,KENDALA BUTUH PT2NS/PT3,STN,DBS,50MBPS,INNER
4,MEI,02/05/2024,DAPUR REMPONG,MET,a. PS,GTM,DBS,50MBPS,METRO
5,MEI,02/05/2024,RA PRINTING,MET,a. PS,GTM,DBS,150 MBPS,METRO
1,MEI,03/05/2024,MADANI MART,KDT,a. PS,STN,DBS,50MBPS,INNER
2,MEI,03/05/2024,Cabrio Premier,TJK,a. PS,KPU,DBS,100 MBPS,INNER
9,MEI,02/05/2024,PT MATRIX CENTER GROUP,KBI,a. PS,GTM,DBS,100 MBPS,PRINGSEWU
10,MEI,02/05/2024,Sartika Hotel,KRU,a. PS,GTM,DBS,100 MBPS,PRINGSEWU
11,MEI,02/05/2024,cv pandu keramik,PRW,a. PS,BTO,DBS,200 MBPS,PRINGSEWU
12,MEI,02/05/2024,Warung Kelapa Ibu Dewi,BDU,a. PS,BTO,DBS,50MBPS,PRINGSEWU
3,MEI,03/05/2024,OTSKY,KDT,a. PS,STN,DBS,50MBPS,INNER
4,MEI,03/05/2024,YAYASAN SURYA MANDIRI  ,TJK,a. PS,STN,DBS,75MBPS,INNER
5,MEI,03/05/2024,RA MUTIARA,PJN,a. PS,KPU,DBS,50MBPS,INNER
3,MEI,04/05/2024,RUMAH DINAS SEKRETARIS PU TUBA,KDT,a. PS,BTO,DBS,50MBPS,INNER
1,MEI,10/05/2024,PT SURYAPRABHA JATISATYA  ,PJN,a. PS,GTM,DBS,100 MBPS,INNER
9,MEI,10/05/2024,PT. MITRA BALI SUKSES,TJK,a. PS,KPU,DBS,75MBPS,INNER
9,MEI,03/05/2024,MULTIPAPER STATIONERY,MET,a. PS,GTM,DBS,100 MBPS,METRO
10,MEI,03/05/2024,SMP MUHAMMADIYAH 1 METRO,MET,a. PS,GTM,DBS,150 MBPS,METRO
1,MEI,04/05/2024,LOGAM CELL,KLA,a. PS,KPU,DBS,150 MBPS,INNER
4,MEI,04/05/2024,STAR Family Karauke,UNT,a. PS,TA,DBS,300MBPS,METRO
13,MEI,03/05/2024,KANTOR PENGADILAN AGAMA BLAMBANGAN UMPU  ,BDU,a. PS,BTO,DBS,100 MBPS,PRINGSEWU
14,MEI,03/05/2024,UNIVERSITAS MUHAMMADIYAH KOTABUMI,KBI,a. PS,GTM,DBS,200 MBPS,PRINGSEWU
15,MEI,03/05/2024,UNIVERSITAS MUHAMMADIYAH KOTABUMI,KBI,a. PS,GTM,DBS,200 MBPS,PRINGSEWU
16,MEI,03/05/2024,UNIVERSITAS MUHAMMADIYAH KOTABUMI,KBI,a. PS,GTM,DBS,200 MBPS,PRINGSEWU
5,MEI,04/05/2024,VERRY BRILINK DAN COUNTER,UNT,a. PS,TA,DBS,200MBPS,METRO
3,MEI,30/05/2024,PT SARANA AGUNG MULIA SETIA,PJN,a. PS,GTM,DBS,200MBPS,INNER
1,MEI,06/05/2024,PT. Adira Dinamika Multifinance Tbk,KDT,a. PS,STN,DBS,50MBPS,INNER
1,MEI,07/05/2024,PT. DIRGANTARA MITRAMAHARDI,SRW,a. PS,STN,DBS,50MBPS,INNER
3,MEI,05/05/2024,ADIRA FINANCE,MET,a. PS,TA,DBS,50MBPS,METRO
4,MEI,28/05/2024,PT CENTRAL PERTIWI BAHARI LAMPUNG,SRW,a. PS,STN,DBS,100MBPS,INNER
5,MEI,05/05/2024,H&S NILLA FISH,BDA,a. PS,BTO,DBS,200MBPS,METRO
2,MEI,07/05/2024,PT APLIKASI DIGITAL INDONESIA QQ MAHFUL,KDT,a. PS,STN,DBS,50MBPS,INNER
6,MEI,20/05/2024,"Kantor Inspektorat Tulang Bawang   kantor direktorat Tiuh Tohou,",MGA,a. PS,BTO,DBS,50MBPS,METRO
5,MEI,06/05/2024,SCOMMER,MET,a. PS,GTM,DBS,50MBPS,METRO
6,MEI,06/05/2024,MANDALA MULTIFINACE  WAY JEPARA LAMPUNG,WJA,a. PS,BTO,DPS,50MBPS,METRO
9,MEI,04/05/2024,LIWA ANEKA ,LIW,a. PS,GTM,DBS,100MBPS,PRINGSEWU
1,MEI,08/05/2024,KANTOR BALAI DESA KAMPUNG BARU,SPS,a. PS,KPU,DBS,50MBPS,INNER
2,MEI,08/05/2024,BRI Cabang Tanjung Karang  ,TJK,a. PS,KPU,DBS,50MBPS,INNER
5,MEI,07/05/2024,KEMENKOMINFO REPUBLIK INDONESIA,MET,a. PS,GTM,DGS,300MBPS,METRO
6,MEI,07/05/2024,POLSEK BANJAR AGUNG,UNT,a. PS,BTO,DBS,50MBPS,METRO
9,MEI,06/05/2024,BALAI PEKON WONOSARI,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
3,MEI,08/05/2024,ARDI MANDIRI ELEKTRIK,TJK,a. PS,KPU,DBS,50MBPS,INNER
7,MEI,07/05/2024,ADIRA FINANCE  METRO,MET,a. PS,GTM,DPS,50MBPS,METRO
8,MEI,07/05/2024,DINAS KOPERASI UKM DAN PERDAGANGAN LAMPUNG TENGAH-3,BDA,a. PS,BTO,DBS,50MBPS,METRO
9,MEI,07/05/2024,OPERATOR SMP NEGERI 2 BUMI RATU NUBAN,BDA,a. PS,BTO,DBS,300MBPS,METRO
4,MEI,08/05/2024,CUCIAN MOBIL EMPIRE  ,KDT,a. PS,BTO,DBS,50MBPS,INNER
5,MEI,08/05/2024,SMP NEGERI 20 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,300MBPS,INNER
6,MEI,08/05/2024,SD IT Muhammadiyah Gunung terang  ,TJK,a. PS,KPU,DBS,200MBPS,INNER
10,MEI,08/05/2024,PT. Golden Communication,KDT,a. PS,STN,DBS,150MBPS,INNER
12,MEI,08/05/2024,KEDAI PONSEL DAN SERVICE COMPUTER,MET,a. PS,GTM,DBS,300MBPS,METRO
13,MEI,08/05/2024,SMKS IB KHALIFAH BANGSA METRO,MET,a. PS,GTM,DBS,75MBPS,METRO
24,MEI,08/05/2024,Minimarket ANAM Jaya  ,UNT,a. PS,TA,DBS,200MBPS,METRO
18,MEI,08/05/2024,ruang tapis setdakab lampung utara,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
19,MEI,08/05/2024,polres lampung utara,KBI,a. PS,GTM,DBS,50MBPS,PRINGSEWU
20,MEI,08/05/2024,Adimas furniture,PRW,a. PS,BTO,DBS,NETMONK,PRINGSEWU
21,MEI,07/05/2024,TOKO NABILA,BDU,a. PS,BTO,DBS,300MBPS,PRINGSEWU
7,MEI,08/05/2024,KANTOR DESA FAJAR BARU,KDT,a. PS,STN,DBS,50MBPS,INNER
1,MEI,09/05/2024,BALAI DESA SIDODADI,KLA,a. PS,KPU,DBS,50MBPS,INNER
1,MEI,13/05/2024,Percetakan Nyentrik,KLA,a. PS,KPU,DBS,150MBPS,INNER
2,MEI,13/05/2024,FRONTAL SHOP  ,LKP,a. PS,SIM,DBS,100MBPS,INNER
13,MEI,13/05/2024,KANTOR KELURAHAN BKM,BKM,a. PS,BTO,DBS,150MBPS,PRINGSEWU
14,MEI,13/05/2024,POLRES LAMPUNG UTARA  KOTABUMI LAMPUNG,KBI,a. PS,GTM,DGS,50MBPS,PRINGSEWU
7,MEI,14/05/2024,Micky.Shoes88 Olshop,KDT,a. PS,STN,DBS,100MBPS,INNER
2,MEI,15/05/2024,SMP NEGERI 43 BANDAR LAMPUNG,KDT,a. PS,STN,DBS,200MBPS,INNER
3,MEI,15/05/2024,TOMORO COFFEE PRAMUKA RAJABASA,LKP,a. PS,SIM,DBS,50MBPS,INNER
4,MEI,15/05/2024,CV KURNIA DUA WIJAYA (KURNIA 2 HOTEL)  ,TJK,a. PS,KPU,DBS,200MBPS,INNER
5,MEI,15/05/2024,Ruang Kapolres Lampung Selatan,KLA,a. PS,KPU,DBS,50MBPS,INNER
1,MEI,16/05/2024,SMK NEGERI 4 BANDAR LAMPUNG - LAB ATAS,TJK,a. PS,KPU,DBS,300MBPS,INNER
8,MEI,15/05/2024,Ditlantas Polda Lampung,KDT,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,INNER
2,MEI,16/05/2024,SMK NEGERI 4 BANDAR LAMPUNG,TJK,a. PS,KPU,DBS,200MBPS,INNER
3,MEI,16/05/2024,CV KURNIA DUA WIJAYA (KURNIA 2 HOTEL)  ,TJK,a. PS,KPU,DBS,100MBPS,INNER
10,MEI,15/05/2024,SMK MUHAMMADIYAH 1 METRO D,MET,a. PS,GTM,DBS,150MBPS,METRO
11,MEI,15/05/2024,Universitas Muhammadiyah Metro,MET,a. PS,GTM,DBS,300MBPS,METRO
15,MEI,15/05/2024,Kantor Inspektorat Tulang Bawang,MGA,a. PS,TA,DBS,50MBPS,METRO
12,MEI,15/05/2024,SMK NEGERI 1 METRO  METRO LAMPUNG,MET,a. PS,GTM,DBS,300MBPS,METRO
7,MEI,10/05/2024,LAPAS WAY KANAN,BDU,a. PS,BTO,DBS,50MBPS,PRINGSEWU
13,MEI,07/05/2024,SD NEGERI 1 ABUNG JAYO,KBI,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,PRINGSEWU
13,MEI,09/05/2024,HIKMAH DIGITAL,PRW,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,PRINGSEWU
1,JUNI,26/06/2024,PT LAMPUNG KULINA UTAMA,SRW,a. PS,BTO,DBS,50MBPS,INNER
5,MEI,11/05/2024,UPTD PUSKESMAS MULYOJATI,MET,a. PS,GTM,DBS,100MBPS,METRO
3,MEI,11/05/2024,Polres Metro QQ Arif,MET,a. PS,GTM,DBS,50MBPS,METRO
1,MEI,11/05/2024,RSUD PESWARAN,GDT,a. PS,BTO,DBS,100MBPS,PRINGSEWU
2,MEI,11/05/2024,PT PLN (Persero) Posko Krui,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
2,MEI,12/05/2024,Shandeiro Car Wash,LKP,a. PS,SIM,DBS,50MBPS,INNER
1,MEI,12/05/2024,RISKA ENTERPRISE,PJN,a. PS,GTM,DBS,100MBPS,INNER
3,MEI,12/05/2024,CV. SRIKANDI JAYA ABADI,MET,a. PS,BTO,DBS,50MBPS,METRO
4,MEI,12/05/2024,GSB COMPUTER  ,LAM,a. PS,BTO,DBS,300MBPS,METRO
5,MEI,12/05/2024,OPERATOR SMP NEGERI 1 BANJAR BARU  ,UNT,a. PS,TA,DBS,300MBPS,METRO
16,MEI,15/05/2024,UNIVERSITAS MUHAMMADIYAH METRO  METRO LAMPUNG,MET,a. PS,GTM,DBS,300MBPS,METRO
17,MEI,15/05/2024,UNIVERSITAS MUHAMMADIYAH METRO  METRO LAMPUNG,MET,a. PS,GTM,DBS,300MBPS,METRO
4,MEI,16/05/2024,CV KURNIA DUA WIJAYA (KURNIA 2 HOTEL)  ,TJK,a. PS,KPU,DBS,50MBPS,INNER
3,MEI,18/05/2024,Drachen Bilyar dan Caffe,TJK,a. PS,KPU,DBS,50MBPS,INNER
6,MEI,16/05/2024,Ruang Regional Head Palmco Regional 7,KDT,a. PS,STN,DBS,300MBPS,INNER
21,MEI,15/05/2024,AGEN BRI LINK DAN JNE BUJUK AGUNG,UNT,KENDALA BUTUH PT2NS/PT3,TA,DBS,200MBPS,METRO
5,MEI,16/05/2024,PEMKOT BANDAR LAMPUNG  ,LKP,a. PS,SIM,DGS,50MBPS,INNER
7,MEI,16/05/2024,HOTEL BANDARA SYARIAH,NTR,a. PS,BTO,DBS,150MBPS,INNER
23,MEI,15/05/2024,Mesjid jami Desa bernung,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
24,MEI,15/05/2024,CV SINAR LAUT,KOT,a. PS,BTO,DBS,200MBPS,PRINGSEWU
25,MEI,15/05/2024,BASTA billiard,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
8,MEI,16/05/2024,WARUNG KOSMETIK,LAM,a. PS,BTO,DBS,200MBPS,METRO
9,MEI,16/05/2024,SMK NEGERI 1 METRO,MET,a. PS,GTM,DBS,200MBPS,METRO
10,MEI,16/05/2024,SMK NEGERI 3 METRO  ,MET,a. PS,GTM,DBS,200MBPS,METRO
11,MEI,16/05/2024,TB JAYA BANGUNAN,WJA,a. PS,BTO,DBS,50MBPS,METRO
12,MEI,16/05/2024,DINASTEL RUANG FTM STO SKD  SUKADANA LAMPUNG,SKD,a. PS,GTM,DPS,50MBPS,METRO
15,MEI,16/05/2024,MANDALA MULTIFINACE  LAMPUNG TENGAH,BDA,a. PS,BTO,DPS,50MBPS,METRO
4,MEI,17/05/2024,Kantor Inspektorat Tulang Bawang,MGA,a. PS,TA,DBS,100MBPS,METRO
5,MEI,17/05/2024,PUSKESMAS BUMI EMAS - 2,MET,a. PS,GTM,DBS,50MBPS,METRO
6,MEI,17/05/2024,ERICK CELL,UNT,a. PS,TA,DBS,50MBPS,METRO
7,MEI,17/05/2024,BMT SRIBAWONO,LAM,e. CANCEL,BTO,DBS,50 MBPS,METRO
8,MEI,17/05/2024,PT Sarana Putra Cemerlang,BDA,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,METRO
19,MEI,16/05/2024,PUTRIYAN GALLERY,MET,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,METRO
20,MEI,16/05/2024,PIKAR JAYA,BKM,a. PS,BTO,DBS,50MBPS,PRINGSEWU
3,MEI,18/05/2024,KCP BRI SRIBAWONO,LAM,a. PS,BTO,DBS,100MBPS,METRO
10,MEI,17/05/2024,Duta Motor,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
7,MEI,20/05/2024,PUSKESMAS BUMI EMAS - 1,MET,a. PS,GTM,DBS,75MBPS,METRO
11,MEI,17/05/2024,Ledina Photography  ,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
12,MEI,17/05/2024,RUANG MEDIA KOMINFO  ,KBI,e. CANCEL,GTM,DGS,200MBPS,PRINGSEWU
12,MEI,20/05/2024,KANTOR KECAMATAN BANJAR BARU,UNT,a. PS,TA,DBS,50MBPS,METRO
1,MEI,22/05/2024,DINASTEL RUANG GS LAMPUNG,KDT,a. PS,BTO,DSS,300MBPS,INNER
2,MEI,22/05/2024,BLACK ZONE CELL  ,NTR,a. PS,BTO,DBS,100MBPS,INNER
13,MEI,18/05/2024,PALMA BEACH  KRUI,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
9,MEI,23/05/2024,SMK WIYATA KARYA NATAR,NTR,a. PS,BTO,DBS,50MBPS,INNER
11,MEI,21/05/2024,pengadilan agama sukadana,SKD,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,METRO
1,MEI,28/05/2024,Wanoz Kos,KDT,a. PS,BTO,DBS,75MBPS,INNER
1,MEI,21/05/2024,Sarana Sejuk Aircon,KDT,a. PS,STN,DBS,50MBPS,INNER
2,MEI,21/05/2024,CV KALIHMEKAR,KDT,a. PS,BTO,DBS,50MBPS,INNER
3,MEI,21/05/2024,KOST PUTRI 21,KDT,a. PS,STN,DBS,50MBPS,INNER
4,MEI,18/05/2024,PT CIOMAS ADISATWA,MET,a. PS,GTM,DBS,100MBPS,METRO
8,MEI,18/05/2024,AFZA JAYA MANDIRI,MET,a. PS,GTM,DBS,50MBPS,METRO
14,MEI,17/05/2024,DOYAN AYAM DAN MIE DOWER,KBI,a. PS,GTM,DBS,50 MBPS,PRINGSEWU
15,MEI,19/05/2024,LA SURF,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
4,MEI,18/05/2024,AGEN BRI LINK DAN JNE I GUSTI PUTU MUDITHA,UNT,a. PS,TA,DBS,200MBPS,METRO
6,MEI,18/05/2024,RENTAL PS UCRIT,LAM,KENDALA BUTUH PT2NS/PT3,BTO,DBS,50MBPS,METRO
16,MEI,20/05/2024,UPT PUSKESMAS GADINGREJO  ,GDT,a. PS,BTO,DBS,50MBPS,PRINGSEWU
10,MEI,18/05/2024,VILLA BARU  ,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
5,MEI,21/05/2024,PT. Artacomindo Jejaring Nusa_ MS BATUBARA FRC  ,TJK,a. PS,KPU,DBS,30MBPS,INNER
5,MEI,18/05/2024,VILLA CASSA,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
17,MEI,18/05/2024,ORTON SURF,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
6,MEI,18/05/2024,YOI BEACH,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
7,MEI,18/05/2024,PALMA BEACH,KRU,a. PS,GTM,DBS,100MBPS,PRINGSEWU
8,MEI,19/05/2024,OTFOCUS STUDIO & CAFE,BKM,a. PS,BTO,DBS,50MBPS,PRINGSEWU
12,MEI,18/05/2024,VILLA SEGARA,KRU,a. PS,GTM,DBS,75MBPS,PRINGSEWU
11,MEI,18/05/2024,KEDAI FAMILY,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
18,MEI,18/05/2024,DESA BERDAYA,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
4,MEI,20/05/2024,TRIDATU UTAMA ARTHA PERSADA  ,TJK,a. PS,STN,DBS,50MBPS,INNER
8,MEI,21/05/2024,DINASTEL - RUANG BS LAMPUNG,KDT,a. PS,BTO,DSS,300MBPS,INNER
9,MEI,20/05/2024,Dinas Kesehatan Kab. Lampung Timur,SKD,a. PS,GTM,DBS,50MBPS,METRO
10,MEI,21/05/2024,RUMDIN BAG PERENCANAAN PU TUBA,MGA,a. PS,GTM,DGS,30MBPS,METRO
13,MEI,20/05/2024,USAHA MANDIRI CELL  ,KRU,a. PS,GTM,DBS,50MBPS,PRINGSEWU
3,MEI,20/05/2024,PT. DOLWIN TRANS LOGISTIK,TJK,e. CANCEL,GTM,DBS,50MBPS,INNER
14,MEI,20/05/2024,CV. MUTIARA NUR  AMALA,KRU,a. PS,GTM,DBS,200MBPS,PRINGSEWU
15,MEI,20/05/2024,SMA NEGERI 2 PRINGSEWU,PRW,a. PS,BTO,DBS,300MBPS,PRINGSEWU
16,MEI,21/05/2024,TOKO ASHFA,KBI,a. PS,GTM,DBS,75MBPS,PRINGSEWU
17,MEI,17/05/2024,KEJAKSAAN NEGERI PESAWARAN,GDT,a. PS,BTO,DGS,300MBPS,PRINGSEWU
18,MEI,17/05/2024,KEJAKSAAN NEGERI PESAWARAN,GDT,a. PS,BTO,DGS,300MBPS,PRINGSEWU
22,MEI,20/05/2024,cv jaya damar,KOT,a. PS,BTO,DBS,300MBPS,PRINGSEWU
13,MEI,30/05/2024,BADAN PUSAT STATISTIK KOTA METRO,MET,a. PS,GTM,DBS,150MBPS,METRO
6,MEI,22/05/2024,PT. Santinilestari Cakra Sentosa  ,KDT,BUTUH PT4,BTO,DBS,50MBPS,INNER
5,MEI,22/05/2024,PT Natafari   ,PJN,KENDALA BUTUH PT2NS/PT3,GTM,DBS,50MBPS,INNER
10,MEI,22/05/2024,UPTD Puskesmas Tulang Bawang 1  ,UNT,a. PS,TA,DBS,150MBPS,METRO
11,MEI,22/05/2024,LACOSTA METRO  ,MET,a. PS,GTM,DBS,75MBPS,METRO
4,MEI,24/05/2024, KIOS ANTON,BKM,a. PS,BTO,DBS,50MBPS,PRINGSEWU
9,MEI,28/05/2024,BAWASLU KAB LAMPUNG TENGAH,BDA,a. PS,GTM,DBS,100MBPS,METRO
